Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey
9600,959.9127,3874,620,0,17282,6272,11010,5,396,0.7190709,13.71129,13.73661,13.69697,True,False
9650,964.9114,3658,715,0,17897,6758,11139,6,448,0.7703685,17.15385,16.99251,17.25,True,False
9700,969.9102,3360,827,0,18495,7375,11120,14,504,0.7517407,17.09794,16.96594,17.18254,True,False
9750,974.909,3088,902,0,18409,8363,10046,12,489,0.7502987,20.47117,20.91768,20.09407,True,False
9800,979.9078,2747,992,0,16279,7318,8961,13,526,0.7600972,19.72883,20.04936,19.44487,True,False
9850,984.9066,2388,1087,0,17001,8374,8627,7,537,0.7439412,18.94204,19.57818,18.2905,True,False
9900,989.9053,2057,1120,0,14671,7542,7129,16,521,0.8121277,19.98571,19.84641,20.14587,True,False
9950,994.9041,1724,1174,0,12442,6589,5853,8,535,0.8483275,19.51448,19.53521,19.48972,True,False
10000,999.9029,1402,1214,0,11459,6576,4883,10,503,0.8333042,19.18946,19.20816,19.16302,True,False
10050,1004.902,1116,1224,0,8128,5107,3021,9,440,0.8460466,21.27696,20.46428,22.725,True,False
10100,1009.9,856,1211,0,6775,4470,2305,10,402,0.869086,18.35921,18.4351,18.20647,True,False
10150,1014.899,676,1166,0,5140,3669,1471,4,310,0.8772938,17.81218,17.83294,17.75484,True,False
10200,1019.898,486,1123,0,3742,2854,888,4,254,0.9004813,19.16919,19.32106,18.64961,True,False
10250,1024.897,380,1075,0,2271,1843,428,6,181,0.9181895,18.65116,18.57383,19.03315,True,False
10300,1029.896,309,1022,0,2046,1694,352,0,144,0.9257017,19.22309,19.54897,17.23611,True,False
10350,1034.894,242,958,0,1385,1207,178,1,109,0.9380972,18.39457,18.55006,17.18349,True,False
10400,1039.893,204,891,0,987,872,115,0,89,0.9560743,19.97082,20.06983,19.07865,True,False
10450,1044.892,183,812,0,594,555,39,0,64,0.9603838,19.26108,19.37433,17.9375,True,False
10500,1049.891,165,738,0,640,582,58,2,52,0.9730557,20.33875,20.32653,20.5,True,False
10550,1054.89,144,676,0,546,499,47,0,43,0.9612992,20.03698,20.05845,19.72093,True,False
10600,1059.888,130,631,0,425,400,25,0,38,0.9526439,18.8019,18.7774,19.18421,True,False
10650,1064.887,125,571,0,439,421,18,1,25,0.9493028,17.31173,17.36813,16.08,True,False
